Titulo,Resumen,URL,Seccion,Sitio de publicacion,Fecha de publicacion,Autor,Contenido
Exigen contratación de personal para hospital del Niño Morelense,<p>Trabajadores de la salud del nosocomio se manifestaron este lunes en la explanada del zócalo de Cuernavaca.</p>,https://www.jornada.com.mx/notas/2023/05/08/estados/exigen-contratacion-de-personal-para-el-hospital-del-nino-morelense/,estados,La jornada,"Mon, 08 May 2023 11:42:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Rubicela Morelos Cruz, corresponsal</dc:creator>","[<p><em>Cuernavaca, Mor.</em> Enfermeras y médicos del hospital del Niño Morelense protestaron este lunes frente a palacio estatal para exigir al gobernador Cuauhtémoc Blanco Bravo, la contratación de más personal, para atender a los menores de edad pues carecen de trabajadores de la salud.</p>, <p>La protesta se realizó por la mañana en la explanada del zócalo de Cuernavaca, donde despacha el mandatario estatal.</p>, <p>“Estamos demandando la contratación de más galenos y personal de enfermería, ya que estamos trabajando en las áreas con el mínimo de la plantilla laboral, por ejemplo el área de urgencias se ha quedado únicamente con un médico para cubrir la sala de choque; de urgencias críticas y no críticas; y las consultas de urgencias, por más que el doctor quiera dar la mejor atención, es demasiado”.</p>, <p>“Por lo que llevamos meses demandando que contraten más personal, pero las condiciones de contratación que se han estado dando en el hospital del niño es de Régimen de Ley, esto quiere decir que las prestaciones son totalmente nulas”, dijo Marcela López Delgado, vocera de este movimiento.</p>, <p>Por lo que también los médicos y enfermeras que hoy se manifestaron, demandaron también que “los compañeros que están bajo Régimen de Ley sean sindicalizados, de esta manera será más atractivo y más personal estará interesado en trabajar en este hospital; porque actualmente, no quieren trabajar en el nosocomio debido a la situación de contratación que tenemos”, detalló.</p>, <p>Indicó que serán unos 350 trabajadores de este hospital, pero aseguró que son menos los médicos y enfermeras; no precisó cuántos están bajo el Régimen de Ley, porque aseguró que esa información se las niegan desde la dirección del nosocomio.</p>, <p>Los inconformes también denunciaron que la empresa Especialidades Comerciales Reyes, la cual tiene a su cargo la administración del comedor del hospital, les da alimentos de muy baja calidad y también insalubre tanto para los trabajadores de la salud como para los menores hospitalizados; por lo que pidieron quitar la concesión y se elija una nueva empresa para que atienda el servicio de comedor. En varias ocasiones los productos alimenticios han provocado diarrea a los consumidores por virus y bacterias.</p>]"
Declaran área natural protegida casi 5 mil has en la zona de Peña Colorada,"<p>Sólo se podrán desarrollar actividades de preservación y conservación de los ecosistemas, así como investigación y colecta científica, monitoreo ambiental y aprovechamiento no extractivo de la vida silvestre.</p>",https://www.jornada.com.mx/notas/2023/05/08/sociedad/declaran-area-natural-protegida-casi-5-mil-has-en-la-zona-de-pena-colorada/,sociedad,La jornada,"Mon, 08 May 2023 11:28:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Lilian Hernández Osorio</dc:creator>","[<p>La Secretaría del Medio Ambiente y Recursos Naturales declaró como Área Natural Protegida casi cinco mil hectáreas de la zona conocida como Peña Colorada, ubicada en los municipios de Querétaro y El Marqués, en la que solo se podrán desarrollar actividades de preservación y conservación de los ecosistemas, así como investigación y colecta científica, monitoreo ambiental y aprovechamiento no extractivo de la vida silvestre.</p>, <p>El decreto se publicó en el Diario Oficial de la Federación (DOF), donde también se estipula que se permitirá el turismo de bajo impacto ambiental, restauración de ecosistemas y reintroducción o repoblación de especies, al igual que erradicación o control de especies tóxicas, exóticas invasoras o que se tornen perjudiciales.</p>, <p>También se permitirá la construcción de infraestructura para las acciones de investigación científica y monitoreo del ambiente y mantenimiento de la infraestructura fija existente.</p>, <p>Para todas estas actividades, el decreto señala que se debe contar con la opinión previa de la Comisión Nacional de Áreas Naturales Protegidas y, en todo caso, las autoridades competentes deben observar los plazos de respuesta previstos en la normativa aplicable.</p>, <p>Mientras que en esta área quedará prohibido descargar contaminantes, como el glifosato, entre otros, en el suelo, subsuelo y cualquier clase de cauce; interrumpir, rellenar, desecar o desviar flujos hidráulicos; realizar actividades de explotación y aprovechamiento extractivo de especies de flora y fauna silvestre, salvo las relacionadas con la colecta científica; construir confinamientos para residuos sólidos, así como para materiales y sustancias peligrosas; acosar, molestar o dañar de cualquier forma a las especies silvestres de flora y fauna; cambiar el uso del suelo; realizar obras o actividades de exploración o explotación mineras y extracción de material pétreo, y usar explosivos.</p>, <p>En Peña Colorada se encuentran cactáceas en peligro de extinción como la biznaga de La Cañada, así como sujetas a protección especial, como la biznaga barril de acitrón; así como especies de fauna como la rana del río grande, rana Leopardo, y la lagartija escamosa de mezquite, sujetas a protección especial; y la culebra listonada del sur mexicano y el tlalcoyote.</p>]"
Accidente en autopista Jala-Compostela deja 8 muertos,<p>Además resultaron lesionadas 10 personas.</p>,https://www.jornada.com.mx/notas/2023/05/08/estados/accidente-en-autopista-jala-compostela-deja-8-muertos/,estados,La jornada,"Mon, 08 May 2023 11:10:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Luis Sánchez, corresponsal</dc:creator>","[<p><em>Compostela, Nay.</em> Al menos ocho muertos y más de 10 lesionados es el saldo del accidente ocurrido la madrugada del lunes en el kilómetro 42 de la autopista Jala-Compostela, de un tractocamión que transportaba flores y personas que viajaban de Puebla con destino a Las Varas en el municipio de Compostela, Nayarit. Entre las personas que perecieron se encuentran tres hombres, tres mujeres y dos menores de edad, informó la dirección de Protección Civil y Bomberos municipales.</p>, <p>Autoridades detallaron que el camión procedente de Puebla cargado con varias toneladas de flores y un número aún no determinado de personas en la misma unidad, salió de la cinta asfáltica terminando en un barranco de unos 20 metros de profundidad.</p>, <p>Paramédicos de Protección Civil y Cruz Roja de Compostela, trasladaron a 10 personas al Hospital IMSS-Bienestar, mientras que en el sitio del percance, han sido encontrados ocho personas sin vida.</p>]"
El Día en Imágenes,,https://www.jornada.com.mx/notas/2023/05/08/galeria_imagenes/el-dia-en-imagenes-2023-05-08t15-35/,galeria_imagenes,La jornada,"Mon, 08 May 2023 10:58:00 -0500",,[]
Este lunes inicia SCJN debate sobre constitucionalidad de la primera parte del Plan B,<p>Incluye las reformas del año pasado a las leyes generales de Comunicación Social y de Responsabilidades Administrativas.</p>,https://www.jornada.com.mx/notas/2023/05/08/politica/este-lunes-inicia-scjn-debate-sobre-constitucionalidad-de-la-primera-parte-del-plan-b/,politica,La jornada,"Mon, 08 May 2023 10:45:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Eduardo Murillo</dc:creator>","[<p>Alrededor de las once de la mañana de este lunes la Suprema Corte de Justicia de la Nación (SJCN) inciará el debate sobre la constitucionalidad de la primera parte del Plan B de reforma electoral, que incluye las reformas del año pasado a las leyes generales de Comunicación Social y de Responsabilidades Administrativas.</p>, <p>Se votará un solo proyecto que responde en su conjunto a las siete acciones de inconstitucionalidad que fueron presentadas por los partidos de la Revolución Democrática, Acción Nacional, Revolucionario Institucional y Movimiento Ciudadano, así como diversos integrantes de la Sexagésima Quinta Legislatura del Congreso de la Unión, y el partido político con registro local en Jalisco “Hagamos”.</p>, <p>Como se sabe, el proyecto, elaborado por el ministro Alberto Pérez Dayán, propone invalidar todo el decreto de estas reformas, debido a que se incurrió en diversas irregularidades en el proceso legislativo.</p>, <p>Por tratarse de una ley ya en vigor, se requerirá de una votación de mayoría calificada, por lo menos ocho de los once integrantes del pleno, para invalidar la reforma impugnada.</p>, <p>Ante la entrada principal de la SCJN, se mantiene el plantón que desde hace meses reúne firmas en demanda de la renuncia de la ministra presidenta, Norma Lucía Piña Hernández.</p>, <p>Un discreto dispositivo de seguridad de la policía capitalina resguarda las calles aledañas, donde transcurre sin variantes la vida cotidiana del Centro Histórico.</p>]"
AMLO y Biden conversarán sobre migración y fentanilo,"<p>Abordarán también el tema de la cooperación económica para el desarrollo, precisó el presidente mexicano.</p>",https://www.jornada.com.mx/notas/2023/05/08/politica/manana-amlo-y-biden-conversaran-sobre-migracion/,politica,La jornada,"Mon, 08 May 2023 10:41:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Emir Olivares y Alonso Urrutia</dc:creator>","[<p>A cuatro días que Estados Unidos elimine las restricciones migratorias del llamado Título 42 –que permiten la expulsión inmediata a México por razones de salud—, los presidentes de ambas naciones, Joe Biden y Andrés Manuel López Obrador, tendrán una conversación mañana en la que, entre otros temas, dialogarán sobre migración.</p>, <p>En la mañanera, el mandatario mexicano informó que este martes a las nueve y media de la mañana, tendrá una video llamada con su homólogo estadunidense. “Los temas, les informo, son migración, fentanilo y cooperación económica para el desarrollo. Son los tres temas”.</p>, <p>La conversación se da justo unos días antes que se ponga fin a las restricciones del Título 42 (el 11 de mayo es el último día de aplicación), ante lo que las autoridades estadunidenses estiman que se dé un importante incremento en el flujo de migrantes hacia su frontera con México, aunque López Obrador ha descartado que la cantidad de extranjeros en movilidad forzada pueda crecer.</p>, <p>“Hemos estado buscando comunicarnos (ambos presidentes), pero no se había dado la posibilidad porque andábamos viajando, pero ahora ya se acordó esto. Vamos a seguir hablando sobre la cooperación que tenemos, que es muy buena y vamos a mantenerla esta relación”.</p>, <p>Interrogado sobre el fin del Título 42 y si eso proyectará un mayor número de migrantes en la frontera norte mexicana, López Obrador volvió a exhortar a los migrantes a seguir las vías regulares que ha dado a conocer la Casa Blanca.</p>, <p>Frente al endurecimiento de las medidas antinmigrantes anunciadas por el gobernador de Texas, el republicano Greg Abbot –abiertamente opositor a los migrantes—, que afirmó desplegará una nueva unidad de la Guardia Nacional que operará con helicópteros para evitar la entrada de extranjeros sin documentos desde México y refirió que prepara leyes para considerar un “delito grave” la entrada irregular y permitir la expulsión de los migrantes, el mandatario mexicano ironizó:</p>, <p>“Un día (el texano) dice una cosa y luego dice otra. Primero echaron a andar ahí un programa para revisar frenos de los camiones y afectó el comercio e los países; luego, de manera inhumana, vulgar y vil, empezaron a llevar migrantes en la época de frío a Nueva York, a Washington, a la casa de la vicepresidenta de Estados Unidos (Kamala Harris), esto lo hicieron los republicanos, algo que verdaderamente los degrada en lo moral, en lo humano”.</p>, <p>López Obrador refirió que ahora, el gobernador de Florida, Ron DeSantis, también ha tomado “medidas represivas e inhumanas” contra los migrantes sólo porque quiere ser de nuevo candidato.</p>, <p>“Imagínense, la Florida, llena de migrantes, ahora está tomando medidas represivas inhumanas en contra de los migrantes, porque quiere ser candidato. ¿Qué no puede hacer otra propuesta para convencer a la gente? ¿Qué tiene que valerse del dolor del pueblo, del dolor del migrante, de la necesidad de la gente para sacar raja política? Eso es inmoral, eso es politiquería.</p>, <p>“El gobernador de Texas también en una ocasión dijo que iba a armar la frontera con cañones hacia acá, con tanques; ¿y ahora qué dice? ¡Ah helicópteros! Allá es su territorio, lo pueden hacer, nada más que de este lado de la frontera no”.</p>, <p>El jefe del Ejecutivo federal demandó a los dos mandatarios estatales de Estados Unidos a dejar de lado su posición antinmigrante y mejor hacer propuestas para endurecer la compra y venta de armamento de alto poder en su país.</p>, <p>“Que hagan una propuesta el gobernador de Texas y el de Florida, y los legisladores del partido Republicano, y algunos también del partido Demócrata, para que ya no se vendan armas en los supermercados, armas de alto poder. Esa es una buena iniciativa, para que no haya estos lamentables hechos de asesinatos, estos tiroteos que hay constantemente. ¿Por qué no se meten a eso? Y que ya dejen de estas recibiendo dinero para campañas de las empresas fabricantes de armas, de la industria bélica, porque eso es lo que está detrás de eso. No dicen ni pio porque les dan dinero para sus campañas y luego tienen que actuar como empleados de ellos y no como representantes del pueblo”.</p>]"
Se apodera el rocanrol de la Arena Ciudad de México por 5 horas,"<p>Artistas como Enrique Guzmán, a sus 80 años, Vero Valdez, Baby Bátiz, Los Rebeldes del Rock, Los Hooligans, entre otros, pusieron a bailar a miles en un viaje a los años 60.</p>",https://www.jornada.com.mx/notas/2023/05/08/espectaculos/se-apodera-el-rocanrol-de-la-arena-ciudad-de-mexico-por-5-horas/,espectaculos,La jornada,"Mon, 08 May 2023 10:41:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Ana Mónica Rodríguez</dc:creator>","[<p><em>Ciudad de México.</em> En una gran máquina del tiempo se transformó la Arena Ciudad de México, que llevó a miles de asistentes a un viaje a la década de los 60 del siglo pasado.</p>, <p>En el concierto Enrique Guzmán y los fundadores del rock en español, la frase que se corroboró en diversos momentos, durante la noche del domingo y las cinco horas de música ininterrumpida, fue casi una sentencia: Ritmos van y vienen, pero el rock permanece; la vida es el rocanrol.</p>, <p>En una velada de grandes éxitos e inolvidable presencia de solistas y agrupaciones, el público y los artistas disfrutaron tanto “como cuando era un jovencito”. Enrique Guzmán a sus 80 años de edad no necesitó nada más que su presencia y talento sobre el escenario.</p>, <p>“Cuánto tiempo me quedé atrás viendo a mis amigos rocanroleros actuando y yo decía ya quiero subir. Hoy es el día más bonito de mi vida… tengo en este micrófono mi alma metida, vida, esfuerzos, desvelos y el tener que dejar sola a mi familia, pero va mi corazón”. Su público comenzó a ovacionarlo: ¡Enrique, Enrique, Enrique! Y el cantante les devolvió los aplausos con temas como <em>Más, Secretamente, Cariño y desprecio, Gotas de lluvia</em> o <em>Cien kilos de barro.</em></p>, <p>El espectáculo que inició por la tarde, se prendió con las mujeres rocanroleras como Vero Valdez y Baby Bátiz, quienes recordaron temas como <em>Eddy Eddy, Vete con ella</em> o <em>Tú serás mi baby.</em></p>, <p>Benny Ibarra, quien también fue el conductor del show, interpretó <em>Diablo con vestido azul,</em> pero ya había lanzado a los espectadores: “Pura gente que ya no paga tenencia” y más adelante invitó -bromeando- a sus colegas “a regresar a los sarcófagos”.</p>, <p>Enseguida, Los Rebeldes del Rock, que lanzaron en 1960 su éxito <em>La hiedra venenosa,</em> ofrecieron ritmo y romanticismo al interpretar <em>La bamba, Siluetas</em> o <em>Melodía de amor</em>, con las cuales pusieron a cantar y aplaudir a los asistentes, en su mayoría adultos, de un recinto casi lleno.</p>, <p>Los Hooligans abrieron con <em>Agujetas color de Rosa,</em> en la cual tuvieron un gran coro</p>, <p>acompañándolos. Siguieron con <em>Acapulco rock, El gato loco</em> y <em>Despeinada</em>, entre otras rolas,</p>, <p>que mantuvieron el ambiente prendido, incluidas las luces de los celulares que se veían</p>, <p>“como estrellas en el firmamento”, dijeron los músicos.</p>, <p>Entre snacks y bebidas, los asistentes escucharon a Los Rockin Devil’s con <em>Hey Lupe, Chica</em></p>, <p><em>Ye Ye, Gloria</em> o <em>Bule Bule,</em> que al puro ritmo a go go sacudió el inmueble de Azcapotzalco. La</p>, <p>memoria voló a una época donde el baile, las canciones y una juventud optimista gozaba y</p>, <p>hasta se enamoraba escuchando rocanrol. En mayo de 2023, los viajeros se olvidaron de la</p>, <p>época en que habitan y se unieron como antes al frenesí y alegría de la música rocanrolera,</p>, <p>al menos durante varias horas, en un domingo inusual.</p>, <p>Los Hermanos Carrión también rememoraron el estilo único con el que se volvieron famosos en aquellos años. <em>Se fue, Magia blanca, Creo estar soñando, Las cerezas</em> o <em>Lágrimas de cristal</em> fueron algunos de los temas que interpretaron. “Nos da mucha alegría de cantar y recordar aquellos tiempos tan bonitos”, dijeron los Carrión, que recordaron a su hermano Héctor, fallecido en 2015.</p>, <p>También se escucharon aplausos para quienes ya no están en el plano terrenal como Manolo Muñoz o Johnny Laboriel; después Los Locos del Ritmo tocaron y alocaron al público con <em>Pólvora, Tengo una novia</em> o <em>Aviéntense todos</em> y Roberto Jordán los puso a cantar con sus éxitos como <em>No se ha dado cuenta, Amor de estudiante</em> o <em>Hazme una señal,</em> canción que según dijo le abrió las puertas de la fama.</p>, <p>Los colegas y amigos rocanroleros de Enrique Guzmán regresarán en noviembre, según adelantó el productor Enrique Gou, ante miles de personas que no notaron el transcurrir del tiempo, gracias a que recordaron, cantaron y gozaron escuchando la banda sonora de su vida.</p>]"
La rebelión de las glorietas / Alfredo López Casanova*,<p>El país atraviesa desde hace muchos años una crisis humanitaria en el tema de desapariciones de personas y feminicidios.</p>,https://www.jornada.com.mx/notas/2023/05/08/sociedad/la-rebelion-de-las-glorietas-alfredo-lopez-casanova/,sociedad,La jornada,"Mon, 08 May 2023 10:37:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Alfredo López Casanova*</dc:creator>","[<p>El país atraviesa desde hace muchos años una crisis humanitaria en el tema de desapariciones de personas y feminicidios. Miles de familias desesperadas y angustiadas buscan a quienes llaman “sus tesoros”, exigen agilizar investigaciones que den con su paradero y desde hace tiempo rascan, escarban con sus propias manos grandes extensiones de tierra, tratando de buscar a sus familiares que en muchos de los casos dan positivo. Otras familias van de oficina en oficina, buscando en los ministerios públicos y jueces alguna esperanza de justicia, y piden que tipifiquen como feminicidio y con perspectiva de género el asesinato de sus hijas.</p>, <p><iframe allowfullscreen="""" clipboard-write;="""" encrypted-media;="""" gyroscope;="""" picture-in-picture""="""" src=""https://videos.jornada.com.mx/player/72020264/colocan-nueva-escultura-en-la-glorieta-de-las-muje/"" style=""width:100%;height:400px;border:none;""></iframe></p>, <p>Agrupadas en su mayoría en colectivos, las familias comparten su dolor y sus experiencias. Se reúnen y reflexionan sobre el camino andado. Buscan parar la violencia del país, y con sus acciones, llamar la atención de las autoridades y de la sociedad para que nadie viva el dolor y sufrimiento que ellas están pasando. Cuando se dan cuenta de que ciertas estrategias se han agotado o han dejado de surtir efecto, imaginan nuevas formas de llamar la atención.</p>, <p>Desde hace algunos años, sus reflexiones las llevaron a la conclusión de que era necesario dar un salto cualitativo y arriesgarse a <em>tomar</em> sitios públicos que sirvan para construir memoria y exigencia de justicia.</p>, <p>Dos de los sitios emblemáticos se encuentran en la Ciudad de México: La Glorieta de las Mujeres que Luchan y La Glorieta de las y los Desaparecidos. Ambas en Paseo de la Reforma.</p>, <p><img alt="""" src=""https://www.jornada.com.mx/ultimas/2023/05/08/la-rebelion-de-las-glorietas-alfredo-lopez-casanova-8019.html/glorieta-3.jpeg-3912.html"" width=""500""/></p>, <p>En la Glorieta de las Mujeres que Luchan. Foto José Antonio López / Archivo</p>, <p>La Glorieta de las Mujeres que Luchan ( ex Glorieta a Colón), fue <em>tomada</em> el 25 de septiembre de 2021 por colectivos de familias que exigen justicia en un amplio abanico de casos que van desde el feminicidio, de-saparición forzada de sus hijas, atacadas con ácido, las indígenas, afromexicanas y la reivindicación de las mujeres que en este país han luchado desde la Independencia hasta nuestros días. A partir de ese día, una frágil silueta de mujer en color morado con el puño izquierdo en alto desafía nuestras certezas desde un pedestal que por más de 145 años habitó el genocida Cristóbal Colón. En ese sitio, las familias han construido un espacio de vocación de memoria y justicia.</p>, <p><img alt="""" src=""https://www.jornada.com.mx/ultimas/2023/05/08/la-rebelion-de-las-glorietas-alfredo-lopez-casanova-8019.html/glorieta-2.jpeg-8767.html"" width=""500""/></p>, <p>En la Glorieta de las Mujeres que Luchan. Foto Alfredo Domínguez / Archivo</p>, <p>La Glorieta de las y los Desaparecidos (antigua Glorieta de La Palma) fue <em>tomada</em> el 8 de mayo de 2022 por colectivos de familias de distintas partes del país, justo dos días antes de la marcha del 10 de mayo que todos los años sale del Monumento a la Madre al Monumento a la Independencia. En su comunicado señalan: “…este será un espacio que funcionará como un dispositivo que pretende no sólo ser un recordatorio de las miles de personas que el Estado no ha querido buscar, sino que se convertirá en un espacio que los familiares de las personas desaparecidas y el resto de la sociedad podamos utilizar para que las memorias perduren como nuestra exigencia de tenerles de regreso”.</p>, <p>Desde su <em>toma</em> y renombramiento, ambas glorietas se han posicionado en amplios sectores de la población, han ganado simpatía frente a la urgente necesidad de nombrar y tener un sitio de memoria para las cientos de miles de agraviados de este país. No son espacios ilegales. Tienen el reconocimiento y la legitimidad que las familias han ganado por la vía de los hechos y las acciones permanentes que realizan.</p>, <p>Mientras el tiempo pasa, las glorietas se consolidan como puntos referenciales, son puntos de encuentro de memoria, verdad y justicia.</p>, <p><img alt="""" src=""https://www.jornada.com.mx/ultimas/2023/05/08/la-rebelion-de-las-glorietas-alfredo-lopez-casanova-8019.html/glorieta.jpeg-6411.html"" width=""500""/></p>, <p>En la Glorieta de las y los Desaparecidos. Foto Marco Peláez / Archivo</p>, <p>Escultor y defensor de derechos humanos</p>]"
México acelera el desarrollo de la industria de semiconductores,"<p>Algunos especialistas lo califican como ""una oportunidad histórica"".</p>",https://www.jornada.com.mx/notas/2023/05/08/reportaje/mexico-acelera-el-desarrollo-de-la-industria-de-semiconductores/,reportaje,La jornada,"Mon, 08 May 2023 10:37:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Braulio Carbajal</dc:creator>","[<p><em>Ciudad de México.</em> Ante la escasez mundial de semiconductores –indispensables para la fabricación de electrónicos y automóviles– debido a la interrupción de las cadenas de suministro como consecuencia de la pandemia y la guerra, México acelera el desarrollo de su propia industria, en lo que algunos especialistas califican como “una oportunidad histórica”.</p>, <p>Desde inicios del año pasado el gobierno mexicano, por medio de la Secretaría de Economía y gobiernos estatales, comenzó una serie de acciones que tienen como objetivo el desarrollo de incentivos para que las empresas de semiconductores que busquen relocalizar la producción que tienen en algún país se instalen en México.</p>, <p>Una apuesta importante del país es la política industrial lanzada el año pasado por la Secretaría de Economía –cuando aún estaba a cargo de Tatiana Clouthier–, la cual específica una directriz para aumentar la participación de los fabricantes de componentes de semiconductores presentes en México en las cadenas globales de producción, pues desde su punto de vista “México es un destino estratégico para el fortalecimiento de la industria de semiconductores en América del Norte”.</p>, <p>A raíz de estos esfuerzos, el año pasado la SE firmó un acuerdo de colaboración con Intel para la transferencia de recursos de innovación y la capacitación a largo plazo de talento mexicano altamente especializado en materia de tecnología, lo que fue un primer paso en el desarrollo de la industria de semiconductores en México.</p>, <p>Un estudio de BBVA asegura que México está ante una oportunidad histórica en la industria de semiconductores, tal y como en su momento estuvieron los llamados tigres asiáticos (Taiwán, Corea del Sur, Singapur y Hong Kong), que en la década de los 60 tenían una economía similar a los países de África y ahora se encuentran entre las 30 más grandes del mundo, con un PIB per cápita superior al de México.</p>, <p>Recientemente EU aprobó la llamada ley “Chips y Ciencia”, la cual prevé 52 mil millones de dólares en subvenciones gubernamentales para la producción de semiconductores en Estados Unidos, así como una bonificación fiscal a la inversión en plantas de chips cuyo valor se estima en 24 mil millones de dólares.</p>, <p>Otra acción importante del gobierno mexicano es la inclusión de la fabricación de semiconductores en el llamado Plan Sonora, que contempla la creación de un centro binacional para el desarrollo de estos componentes con la participación de la Universidad de Arizona, el Consejo Nacional de Ciencia y Tecnología y el gobierno estatal.</p>, <p>Dicho centro, según anunció recientemente el gobernador Alfonso Durazo Montaño, además de detonar la investigación tiene como objetivo impulsarr al talento humano, consolidar las nuevas cadenas de proveeduría y abastecer a la industria con energías limpias, de modo que se logre que el <em>nearshoring</em> y la industria automotriz, gran consumidora de semiconductores, sean ejes prioritarios tanto del estado como del país.</p>, <p>De acuerdo con un informe de World Semiconductor Trade Statistics en 2022 la industria global de los semiconductores, pese a la crisis que atravesó, obtuvo una ganancia de 633 mil millones de dólares, un crecimiento de 14 por ciento respecto a 2021, siendo Asia-Pacífico la región más importante, es decir, donde se encuentran instaladas las fabricantes de chips más grandes del mundo.</p>, <p>Datos de la Secretaría de Economía indican que la participación de México en las exportaciones globales es de 4.5 por ciento, en las que se incluye el comercio exterior de automóviles, laptops, fibras, tabletas y diferentes dispositivos electrónicos. Sin embargo, en lo que respecta exclusivamente a exportaciones automotrices, México representa 16 por ciento de la participación global.</p>]"
Rodrigo ‘N’ acumula más de 39 años de prisión por violencia familiar,"<p>La titular de la FGJ, Ernestina Godoy, dio a conocer que 71 personas fueron llevadas a proceso por diversos delitos en contra de mujeres.</p>",https://www.jornada.com.mx/notas/2023/05/08/capital/rodrigo-n-acumula-mas-de-39-anos-de-prision-por-violencia-familiar/,capital,La jornada,"Mon, 08 May 2023 10:23:00 -0500","<dc:creator xmlns:dc=""http://purl.org/dc/elements/1.1/"">Laura Gómez Flores</dc:creator>","[<p><em>Ciudad de México.</em> El personal de la Coordinación General de Acusación, Procedimiento y Enjuiciamiento obtuvo una cuarta sentencia condenatoria contra Rodrigo N, todas por violencia familiar, acumulando más de 39 años de prisión, informó la Fiscalía General de Justicia.</p>, <p>Al dar a conocer que 71 personas fueron llevadas a proceso por diversos delitos en contra de mujeres, la titular de la FGJ, Ernestina Godoy, señaló que Rodrigo N agredió en dos ocasiones a su esposa y a la hija de ambos; a los padres de ella, y a una tercera mujer.</p>, <p>En diciembre del 2022, recordó, que ese año quedó marcado en los anales de la justicia de la Ciudad de México, luego de la obtención de la primera sentencia condenatoria por el delito de violencia familiar cometido por Rodrigo N en agravio de su pareja sentimental.</p>, <p>La primera sentencia que recibió en abril de 2022 fue de nueve años de prisión; en octubre de ese mismo año fue condenado a seis años más de cárcel.</p>, <p>El primer antecedente se dio en noviembre de 2018, cuando Rodrigo N discutió con su pareja sentimental, la señora Daniela, cuando ambos viajaban a bordo del auto familiar, además de que la insultó y comenzó a golpearla.</p>, <p>Los padres de la mujer salieron en defensa de ella, y el sentenciado arremetió también contra la pareja de personas adultas mayores.</p>, <p>Una tercera sentencia se dio en noviembre del año pasado por 12 años y la cuarta fue de 11 años y nueve meses de prisión, por la violencia ejercida contra su propia hija, infante de un mes de nacida al momento de los hechos.</p>, <p>La fiscal detalló que del 17 de abril al 1 de mayo, se ejecutaron 27 órdenes de aprehensión y 44 detenciones en flagrancia, llevando a proceso a 71 personas acusadas de diversos delitos en contra de niñas, adolescentes, mujeres y adultas mayores.</p>, <p>Mencionó que, 34 personas fueron imputadas por violencia familiar y 24 más por abuso sexual; cuatro por tentativa de feminicidio e igual número por acoso sexual; tres por feminicidio, y dos por el delito de violación, y “no nos detendremos hasta lograr que en cada caso se haga justicia”.</p>]"
